Dataset,Launch id,F1 metric test score,Fit minutes,Model name
Amazon_employee_access,0,0.9318682225902943,0.26323052916666667,rf
Amazon_employee_access,0,0.9002963373100309,0.23115575416666667,lgbm
Amazon_employee_access,1,0.9292105739392119,0.28016064583333333,rf
Amazon_employee_access,1,0.9189770689697603,0.22946100000000003,lgbm
Amazon_employee_access,2,0.9291524191962445,0.26397290416666663,rf
Amazon_employee_access,2,0.9043166941338046,0.21171537916666666,lgbm
Amazon_employee_access,3,0.9289265296601359,0.24624468333333333,rf
Amazon_employee_access,3,0.891333360743102,0.23068422500000002,lgbm
Amazon_employee_access,4,0.932766666276758,0.26484049583333336,rf
Amazon_employee_access,4,0.9192763946754685,0.22760889583333335,lgbm
Amazon_employee_access,5,0.9342710049633942,0.2502482583333333,rf
Amazon_employee_access,5,0.9059308233334182,0.2223427,lgbm
Amazon_employee_access,6,0.9271902837598447,0.2473320208333333,rf
Amazon_employee_access,6,0.9206295464906122,0.23517504583333332,lgbm
Amazon_employee_access,7,0.9255721799960018,0.2713918,rf
Amazon_employee_access,7,0.9182282933578354,0.2347304083333333,lgbm
Amazon_employee_access,8,0.9318757272479251,0.2747968791666667,rf
Amazon_employee_access,8,0.9166432355408081,0.22334348333333331,lgbm
Amazon_employee_access,9,0.923091953046448,0.2517435,rf
Amazon_employee_access,9,0.9172581897066072,0.24503409166666668,lgbm
Amazon_employee_access,10,0.9329314243900988,0.27316212916666666,rf
Amazon_employee_access,10,0.910941928577027,0.23591027916666665,lgbm
Amazon_employee_access,11,0.9285876051517705,0.2786728708333333,rf
Amazon_employee_access,11,0.9128258054002194,0.24409152083333333,lgbm
Amazon_employee_access,12,0.9282362875611465,0.25229728333333334,rf
Amazon_employee_access,12,0.9082980376833759,0.2576760375,lgbm
Amazon_employee_access,13,0.9278016804697985,0.26828095416666664,rf
Amazon_employee_access,13,0.9064243389347028,0.23218429583333333,lgbm
Amazon_employee_access,14,0.9370869087896474,0.26452658333333334,rf
Amazon_employee_access,14,0.9176891690763246,0.23148407916666666,lgbm
Amazon_employee_access,15,0.9353561992793391,0.274868375,rf
Amazon_employee_access,15,0.9151374513713846,0.2288169125,lgbm
Amazon_employee_access,16,0.9235332964791847,0.2604155416666667,rf
Amazon_employee_access,16,0.9187049298408256,0.25214013750000003,lgbm
Amazon_employee_access,17,0.9300637587957065,0.26303018333333333,rf
Amazon_employee_access,17,0.9052647291203444,0.24877642916666665,lgbm
Amazon_employee_access,18,0.9321651957705274,0.2614334,rf
Amazon_employee_access,18,0.8991834236883998,0.24199684583333333,lgbm
Amazon_employee_access,19,0.9339836680330257,0.31539697083333335,rf
Amazon_employee_access,19,0.9077986845539847,0.25158328750000003,lgbm
cnae-9,0,0.8725588439469469,0.6129801583333334,rf
cnae-9,0,0.8277294747299664,0.6571996999999999,lgbm
cnae-9,1,0.8605907462754097,0.6132091208333332,rf
cnae-9,1,0.8223895695850876,0.6474595666666667,lgbm
cnae-9,2,0.8732051783809296,0.6068608916666667,rf
cnae-9,2,0.8279746781578614,0.6452238,lgbm
cnae-9,3,0.8539159559290123,0.6129966291666666,rf
cnae-9,3,0.8247077344904938,0.6479417708333333,lgbm
cnae-9,4,0.8517296928906356,0.6173948833333334,rf
cnae-9,4,0.8133820833634982,0.6538739291666666,lgbm
cnae-9,5,0.8474369193357812,0.6076683291666667,rf
cnae-9,5,0.8208797985690965,0.6457516583333334,lgbm
cnae-9,6,0.8606525045805515,0.60859865,rf
cnae-9,6,0.8172367725748491,0.6495951500000001,lgbm
cnae-9,7,0.872239924875582,0.6111348666666667,rf
cnae-9,7,0.8294119033960328,0.6255997208333333,lgbm
cnae-9,8,0.8722290149712337,0.5948405875,rf
cnae-9,8,0.8063737956321047,0.6254320333333333,lgbm
cnae-9,9,0.8618840296052848,0.5950957916666667,rf
cnae-9,9,0.8312085986011426,0.6272487124999999,lgbm
cnae-9,10,0.8596512288795123,0.594854725,rf
cnae-9,10,0.8218027446694143,0.626363025,lgbm
cnae-9,11,0.8494367624873781,0.5908486708333334,rf
cnae-9,11,0.8314395270639885,0.625428475,lgbm
cnae-9,12,0.8555871928141932,0.5941270166666668,rf
cnae-9,12,0.8335446784621132,0.6231955791666667,lgbm
cnae-9,13,0.8719679422810633,0.5936530833333332,rf
cnae-9,13,0.826296265815254,0.6268525958333334,lgbm
cnae-9,14,0.8712954088932534,0.5881661541666667,rf
cnae-9,14,0.830987146874588,0.6251423958333333,lgbm
cnae-9,15,0.8709439483348983,0.5916413166666668,rf
cnae-9,15,0.8175094027968204,0.6253651083333334,lgbm
cnae-9,16,0.8683259441917864,0.594781225,rf
cnae-9,16,0.8295448940694343,0.6260426,lgbm
cnae-9,17,0.8753161923581648,0.5929429958333333,rf
cnae-9,17,0.8236646017435622,0.6290602958333333,lgbm
cnae-9,18,0.878046388544554,0.5907188916666667,rf
cnae-9,18,0.8214769503229156,0.6258476041666666,lgbm
cnae-9,19,0.8779932661513019,0.5915678875,rf
cnae-9,19,0.8243897586193815,0.6277336375,lgbm
vehicle,0,0.7260498936843206,0.055374716666666664,rf
vehicle,0,0.742114225558258,0.06298155416666666,lgbm
vehicle,1,0.7247878901720339,0.054116045833333334,rf
vehicle,1,0.7364052200481477,0.06197591250000001,lgbm
vehicle,2,0.7314648435884767,0.05447644583333333,rf
vehicle,2,0.7368353521272011,0.061053375,lgbm
vehicle,3,0.7177409543680177,0.05361815416666667,rf
vehicle,3,0.7397035378426606,0.062142141666666664,lgbm
vehicle,4,0.7166160881553312,0.054744137500000005,rf
vehicle,4,0.7339498062880957,0.06207979583333333,lgbm
vehicle,5,0.7113716501009733,0.058063712499999996,rf
vehicle,5,0.7441613427140938,0.06242885833333334,lgbm
vehicle,6,0.7174072575310149,0.05497335833333333,rf
vehicle,6,0.7466709098018154,0.062017466666666674,lgbm
vehicle,7,0.7331751867621822,0.054721495833333335,rf
vehicle,7,0.7340323840364659,0.05993969583333334,lgbm
vehicle,8,0.7218300267587952,0.053957762500000006,rf
vehicle,8,0.7601127276872203,0.061784770833333336,lgbm
vehicle,9,0.729799494533187,0.054010675,rf
vehicle,9,0.7451129086118522,0.062034091666666666,lgbm
vehicle,10,0.7406603092798449,0.05391463333333334,rf
vehicle,10,0.744239809887653,0.06209641666666667,lgbm
vehicle,11,0.7329622393824726,0.054596983333333335,rf
vehicle,11,0.7348450167875697,0.06109493333333333,lgbm
vehicle,12,0.7277880485462576,0.055134870833333335,rf
vehicle,12,0.7309456336576756,0.06116556666666667,lgbm
vehicle,13,0.7272620179242183,0.05446831666666667,rf
vehicle,13,0.7334682517691511,0.0615354125,lgbm
vehicle,14,0.7208064833667729,0.054954825,rf
vehicle,14,0.7567464041776568,0.061281929166666665,lgbm
vehicle,15,0.7286634350499761,0.0543961125,rf
vehicle,15,0.7488187319890507,0.0614730875,lgbm
vehicle,16,0.7269831947037904,0.05391733333333333,rf
vehicle,16,0.7446392792118093,0.061543733333333336,lgbm
vehicle,17,0.7085358831460734,0.05441885416666666,rf
vehicle,17,0.7216194685926771,0.06250365833333332,lgbm
vehicle,18,0.7315319622729923,0.05440875416666666,rf
vehicle,18,0.7313208033676879,0.061618533333333336,lgbm
vehicle,19,0.6983582349125148,0.054709475,rf
vehicle,19,0.7443849781027875,0.06149802083333333,lgbm
volkert,0,0.6647797674638124,12.6422478,rf
volkert,0,0.6783215608318789,7.585061862499999,lgbm
volkert,1,0.6655268379883477,12.522588304166666,rf
volkert,1,0.6853044026027958,7.373180570833334,lgbm
volkert,2,0.6668464015590317,14.238687924999999,rf
volkert,2,0.6834202816105471,7.413109512500001,lgbm
volkert,3,0.6692730836537921,13.692786870833334,rf
volkert,3,0.6819460238313144,7.536527233333333,lgbm
volkert,4,0.6686940416445378,14.424350504166668,rf
volkert,4,0.6771976289014644,7.307162041666667,lgbm
volkert,5,0.6710425923085244,12.873485829166667,rf
volkert,5,0.6852019560286688,7.768467620833333,lgbm
volkert,6,0.6713773720041508,13.945235470833333,rf
volkert,6,0.6811570942476114,7.644832849999999,lgbm
volkert,7,0.663822131259589,12.307521479166665,rf
volkert,7,0.677901719846382,7.180089916666667,lgbm
volkert,8,0.6670838798861598,13.567222662499999,rf
volkert,8,0.6849214764694468,7.636912716666667,lgbm
volkert,9,0.6701631226274554,13.257838391666667,rf
volkert,9,0.6806091414483747,7.1936913375,lgbm
volkert,10,0.6623343388326379,13.102110941666666,rf
volkert,10,0.6830132516122149,8.102415420833333,lgbm
volkert,11,0.6684625886092838,14.811895304166665,rf
volkert,11,0.6815039492229518,7.573397099999999,lgbm
volkert,12,0.6660777925605735,16.135520395833332,rf
volkert,12,0.682001349006836,7.7017685875,lgbm
