Dataset,Launch id,Composing minutes,Tuning minutes,All minutes
cal_housing,0,2.825892383333333,2.3032725833333334,5.154680516666667
cal_housing,1,3.3539961000000003,1.7090960833333333,5.087510249999999
cal_housing,2,34.0933346,0.0,34.11348026666666
cal_housing,3,2.9712511999999998,2.1069163833333335,5.1020703833333325
cal_housing,4,2.7148398333333335,2.3601859333333333,5.100151883333334
cal_housing,5,2.959965766666667,2.1250326,5.1100979833333335
cal_housing,6,2.73383905,2.34118885,5.100692583333333
cal_housing,7,2.6293171,2.4542364333333335,5.109518550000001
cal_housing,8,2.9661163166666666,2.118850166666667,5.112044183333333
cal_housing,9,2.899574933333333,2.1740519833333334,5.09673185
delta_ailerons,0,2.7553596666666667,2.264702616666667,5.031830733333334
delta_ailerons,1,2.8805775666666666,2.1386611333333336,5.029601966666666
delta_ailerons,2,2.8413677500000003,2.1779482833333335,5.030039633333333
delta_ailerons,3,2.3793236833333333,1.7098609833333334,4.097097
delta_ailerons,4,2.9312640500000002,2.0727411666666664,5.013307516666667
delta_ailerons,5,2.8810862999999998,2.1676708166666665,5.061430933333333
delta_ailerons,6,2.883711,2.1831847166666667,5.0993785
delta_ailerons,7,2.4198289833333333,1.9110258999999998,4.339182133333334
delta_ailerons,8,2.616607166666667,1.8736892500000002,4.497610333333333
delta_ailerons,9,2.8422933666666665,2.1759991833333334,5.02782465
pol,0,3.154489316666667,1.9025283,5.079972416666666
pol,1,2.958279533333333,2.09496465,5.07671475
pol,2,2.9788044499999997,2.08389265,5.08563575
pol,3,3.1805876,1.8697496666666666,5.074439416666666
pol,4,2.9509502833333334,2.207611733333333,5.199884933333333
pol,5,2.760103033333333,2.2950284,5.078568733333333
pol,6,2.8471170333333333,2.2125163333333333,5.081541466666667
pol,7,2.8166987999999997,2.227692333333333,5.0675957333333335
pol,8,3.1898162833333337,1.8668398333333334,5.0789465
pol,9,2.9616491166666665,2.09853875,5.083508883333334
