Dataset,Launch id,Composing minutes,Tuning minutes,All minutes
cal_housing,0,3.00523405,2.050561083333333,5.07585895
cal_housing,1,2.5628141833333333,2.506453516666667,5.087762466666666
cal_housing,2,3.0294921666666665,2.0783484999999997,5.13315965
cal_housing,3,3.0149817833333334,2.0247252666666666,5.0593218
cal_housing,4,2.7085372666666667,2.3516852,5.0801558
cal_housing,5,2.8497703333333333,2.219951616666667,5.089544283333334
cal_housing,6,3.1268236333333332,1.9516415666666667,5.0974319999999995
cal_housing,7,2.7446949166666665,2.3484561833333335,5.11620255
cal_housing,8,2.76049305,2.3299946333333335,5.114731316666666
cal_housing,9,2.6271698166666666,2.7628776166666666,5.4248780000000005
delta_ailerons,0,2.7820531500000003,2.220592166666667,5.011421299999999
delta_ailerons,1,2.9149478,2.0940326666666667,5.01576235
delta_ailerons,2,2.9502878166666666,2.047473833333333,5.00726955
delta_ailerons,3,2.97093065,2.0314661166666665,5.011322883333333
delta_ailerons,4,2.6964737,2.31603355,5.020826850000001
delta_ailerons,5,3.0111947,2.0116084,5.03252735
delta_ailerons,6,2.8056084500000003,2.2171466,17.706458316666666
delta_ailerons,7,2.88922505,2.122557366666667,5.02103875
delta_ailerons,8,2.833971,2.172748866666667,5.0177572999999995
delta_ailerons,9,2.9102222333333336,2.1162706833333336,5.037430883333333
pol,0,2.7750743166666667,2.2798674833333332,5.078638683333334
pol,1,2.7712127,2.322345783333333,5.1236459
pol,2,3.094983683333333,2.0382529166666665,5.166811083333333
pol,3,3.05731255,1.9996167500000002,5.081959033333334
pol,4,2.919062783333333,2.1201631666666665,5.062605166666667
pol,5,2.7411057166666666,2.3166871666666666,5.0805488
pol,6,2.8434288,2.2168371166666665,5.082705833333334
pol,7,2.8204236833333334,2.3356193666666667,5.19315995
pol,8,2.9421314666666665,2.0724396666666665,5.028517166666666
pol,9,2.77880155,2.288097083333333,5.09025235
